NO,TITLE,REFRENCE NO. ,DATE,URL LINK,Keyword/s,Category,Responsible Office
1302,LO-009S2005,LO-009S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO009S2005.pdf,LO-009S2005,TAXING POWERS OF BARANGAYS,
1301,LO-003S2005,LO-003S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO003S2005.pdf,LO-003S2005,FUNCTIONS OF SANGGUNIANS,
1300,LO-021S2006,LO-021S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO021S2006.pdf,LO-021S2006,REMOVAL FROM OFFICE,
1299,LO-014S2006,LO-014S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO014S2006.pdf,LO-014S2006,COMPOSITION OF THE SANGGUNIANG BAYAN,
1298,LO-012S2006,LO-012S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO012S2006.pdf,LO-012S2006,HIRING OF PRIVATE LAWYER,
1297,LO-004S2006,LO-004S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO004S2006.pdf,LO-004S2006,,
1296,LO-112S2007,LO-112S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO112S2007.pdf,LO-112S2007,,
1295,LO-021S2008,LO-021S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO021S2008.pdf,LO-021S2008,,
1294,LO-023S2007,LO-023S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO023S2007.pdf,LO-023S2007,FIRE CODE OF THE PHILIPPINES,
1293,LO-043S2008,LO-043S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO043S2008.pdf,LO-043S2008,LCEs DESIGNATION / APPOINTMENT /AUTHORIZATION / REPRESENTATION,
1292,LO-030S2009,LO-030S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO030S2009.pdf,LO-030S2009,APPOINTMENT / DESIGNATION OF LOCAL FUNCTIONARIES,
1291,LO-026S2009,LO-026S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO026S2009.pdf,LO-026S2009,Benefits of Employees,
1290,LO-018S2009,LO-018S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO018S2009.pdf,LO-018S2009,vonrcoim,
1289,LO-017S2009,LO-017S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO017S2009.pdf,LO-017S2009,DILG Women's Bulletin 2016,
1288,LO-011S2009,LO-011S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO011S2009.pdf,LO-011S2009,COVID/SAP MATTERS,
1287,LO-031S2005,LO-031S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO031S2005.pdf,LO-031S2005,Vacancy/Succession,
1286,LO-035S2006,LO-035S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO035S2006.pdf,LO-035S2006,SK Matters,
1285,LO-034S2006,LO-034S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO034S2006.pdf,LO-034S2006,Internal Rules and Procedures of Sanggunian,
1284,LO-017S2006,LO-017S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO017S2006.pdf,LO-017S2006,Review of Ordinances/Resolutions,
1283,LO-002S2006,LO-002S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO002S2006.pdf,LO-002S2006,Cockpit/Illegal Gambling/Smoking,
1282,LO-016S2007,LO-016S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO016S2007.pdf,LO-016S2007,Revenue/Tax/Fees,
1281,LO-035S2007,LO-035S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO035S2007.pdf,LO-035S2007,Funds and Budget Matter,
1280,LO-038S2007,LO-038S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO038S2007.pdf,LO-038S2007,Implementation/Decision/Validity of an Order,
1279,LO-040S2007,LO-040S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO040S2007.pdf,LO-040S2007,Indigeneous People,
1278,LO-074S2007,LO-074S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO074S2007.pdf,LO-074S2007,Sharing Agreement/Term,
1277,LO-036S2005,LO-036S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO036S2005.pdf,LO-036S2005,Donation/Structure/Road,
1276,LO-019S2005,LO-019S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO019S2005.pdf,LO-019S2005,"Attachment of the Name, Image/Likeness of Public Officials",
1275,LO-005S2005,LO-005S2005,01/01/2009,,LO-005S2005, Private Owned-Property,
1274,LO-037S2008,LO-037S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO037S2008.pdf,LO-037S2008,Provisions of Republic Act/ Administrative Order,
1273,LO-084S2007,LO-084S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO084S2007.pdf,LO-084S2007,Honorarium,
1272,LO-023S2006,LO-023S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO023S2006.pdf,LO-023S2006,Benefits of Local Officials,
1271,LO-052S2008,LO-052S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO052S2008.pdf,LO-052S2008,Sanggunian Session,
1270,LO-083S2007,LO-083S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO083S2007.pdf,LO-083S2007,"Power, Duties and Functions",
1269,LO-053S2005,LO-053S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO053S2005.pdf,LO-053S2005,Reorganization of Committees in the SP,
1268,LO-013S2006,LO-013S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO013S2006.pdf,LO-013S2006,Legislative Function,
1267,LO-049S2007,LO-049S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO049S2007.pdf,LO-049S2007,Creation of LGU,
1266,LO-034S2007,LO-034S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO034S2007.pdf,LO-034S2007,Job Order/Contract of Services Matters,
1265,LO-041S2007,LO-041S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO041S2007.pdf,LO-041S2007,Issuance of Clearance/Permit,
1264,LO-070S2007,LO-070S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO070S2007.pdf,LO-070S2007,Designation/Appointment,
1263,LO-071S2007,LO-071S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO071S2007.pdf,LO-071S2007,Effect of Filing COC,
1262,LO-077S2007,LO-077S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO077S2007.pdf,LO-077S2007,Removal/Suspension/Termination/ Resignation of Local Officials,
1261,LO-006S2007,LO-006S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO006S2007.pdf,LO-006S2007,Filing Complaint,
1260,LO-024S2007,LO-024S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO024S2007.pdf,LO-024S2007,General Welfare,
1259,LO-033S2007,LO-033S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO033S2007.pdf,LO-033S2007,Contracts/Agreements,
1258,LO-049S2007,LO-049S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO049S2007.pdf,LO-049S2007,Comelec Matters,
1257,LO-089S2007,LO-089S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO089S2007.pdf,LO-089S2007,Local/Municipal/Provincial Development Councils,
1256,LO-005S2007,LO-005S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO005S2007.pdf,LO-005S2007,Election Ban,
1255,LO-010S2008,LO-010S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO010S2008.pdf,LO-010S2008,Control and Supervision,
1254,LO-014S2008,LO-014S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO014S2008.pdf,LO-014S2008,Disaster Risk,
1253,LO-017S2008,LO-017S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO017S2008.pdf,LO-017S2008,Philippine Councilors League,
1252,LO-018S2008,LO-018S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO018S2008.pdf,LO-018S2008,Hiring Officials/Employees,
1251,LO-021S2008,LO-021S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO021S2008.pdf,LO-021S2008,NGO/CSO,
1250,LO-022S2008,LO-022S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO022S2008.pdf,LO-022S2008,,
1249,LO-026S2007,LO-026S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO026S2007.pdf,LO-026S2007,,
1248,LO-026S2008,LO-026S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO026S2008.pdf,LO-026S2008,,
1247,LO-042S2008,LO-042S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO042S2008.pdf,LO-042S2008,,
1246,LO-051S2008,LO-051S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO051S2008.pdf,LO-051S2008,,
1245,LO-068S2007,LO-068S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO068S2007.pdf,LO-068S2007,,
1244,LO-099S2007,LO-099S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO099S2007.pdf,LO-099S2007,,
1243,LO-029S2009,LO-029S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO029S2009.pdf,LO-029S2009,,
1242,LO-013S2009,LO-013S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO013S2009.pdf,LO-013S2009,,
1241,LO-040S2005,LO-040S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO040S2005.pdf,LO-040S2005,,
1240,LO-015S2005,LO-015S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO015S2005.pdf,LO-015S2005,,
1239,LO-036S2006,LO-036S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO004S2007.pdf,LO-036S2006,,
1238,LO-004S2007,LO-004S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO004S2007.pdf,LO-004S2007,,
1237,LO-008S2007,LO-008S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO008S2007.pdf,LO-008S2007,,
1236,LO-005S2009,LO-005S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO005S2009.pdf,LO-005S2009,,
1235,LO-039S2006,LO-039S2006,01/01/2009,,LO-039S2006,,
1234,LO-006S2008,LO-006S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO006S2008.pdf,LO-006S2008,,
1233,LO-046S2008,LO-046S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO046S2008.pdf,LO-046S2008,,
1232,LO-050S2008,LO-050S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO050S2008.pdf,LO-050S2008,,
1231,LO-032S2007,LO-032S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO032S2007.pdf,LO-032S2007,,
1230,LO-061S2007,LO-061S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO061S2007.pdf,LO-061S2007,,
1229,LO-069S2007,LO-069S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO069S2007.pdf,LO-069S2007,,
1228,LO-013S2008,LO-013S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO013S2008.pdf,LO-013S2008,,
1227,LO-016S2009,LO-016S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO016S2009.pdf,LO-016S2009,,
1226,LO-010S2009,LO-010S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO010S2009.pdf,LO-010S2009,,
1225,LO-009S2009,LO-009S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO009S2009.pdf,LO-009S2009,,
1224,LO-003S2009,LO-003S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO003S2009.pdf,LO-003S2009,,
1223,LO-050S2005,LO-050S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO050S2005.pdf,LO-050S2005,,
1222,LO-039S2005,LO-039S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO039S2005.pdf,LO-039S2005,,
1221,LO-024S2005,LO-024S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO024S2005.pdf,LO-024S2005,,
1220,LO-016S2005,LO-016S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO016S2005.pdf,LO-016S2005,,
1219,LO-014S2005,LO-014S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO014S2005.pdf,LO-014S2005,,
1218,LO-004S2005,LO-004S2005,01/01/2009,,LO-004S2005,,
1217,LO-002S2005,LO-002S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO002S2005.pdf,LO-002S2005,,
1216,LO-038S2006,LO-038S2006,01/01/2009,,LO-038S2006,,
1215,LO-024S2006,LO-024S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO024S2006.pdf,LO-024S2006,,
1214,LO-006S2006,LO-006S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO006S2006.pdf,LO-006S2006,,
1213,LO-104S2007,LO-104S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO104S2007.pdf,LO-104S2007,,
1212,LO-113S2007,LO-113S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO113S2007.pdf,LO-113S2007,,
1211,LO-008S2008,LO-008S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO008S2008.pdf,LO-008S2008,,
1210,LO-011S2007,LO-011S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO011S2007.pdf,LO-011S2007,,
1209,LO-014S2008,LO-014S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO014S2008.pdf,LO-014S2008,,
1208,LO-023S2008,LO-023S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO023S2008.pdf,LO-023S2008,,
1207,LO-042S2007,LO-042S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO042S2007.pdf,LO-042S2007,,
1206,LO-044S2007,LO-044S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO044S2007.pdf,LO-044S2007,,
1205,LO-053S2008,LO-053S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO053S2008.pdf,LO-053S2008,,
1204,LO-074S2007,LO-074S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO074S2007.pdf,LO-074S2007,,
1203,LO-002S2009,LO-002S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO002S2009.pdf,LO-002S2009,,
1202,LO-003S2006,LO-003S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO003S2006.pdf,LO-003S2006,,
1201,LO-005S2008,LO-005S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO005S2008.pdf,LO-005S2008,,
1200,LO-014S2007,LO-014S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO014S2007.pdf,LO-014S2007,,
1199,LO-019S2007,LO-019S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO019S2007.pdf,LO-019S2007,,
1198,LO-027S2008,LO-027S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO027S2008.pdf,LO-027S2008,,
