NO,TITLE,REFERENCE NUMBER,RESPONSIBLE OFFICE ,DATE ,URL,KEY WORD/S
3407,PILIPINAS KABUHAYAN KARAVAN 2003,MC2003-218,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-218.pdf,PILIPINAS KABUHAYAN KARAVAN 2003
3406,ROLES/RESPONSIBILITIES OF LGUs IN HANDLING JUVENILE OFFENDERS,MC2003-217,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-217.pdf,ROLES OF LGUs IN HANDLING OFFENDERS
3405,22ND PHILIPPINE NATIONAL PRAYER BREAKFAST,MC2003-216,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-216.pdf,22ND PHILIPPINE NATIONAL PRAYER BREAKFAST
3404,"CELEBRATION OF DRUG ABUSE PREVENTION AND CONTROL WEEK, NOVEMBER 9-15, 2003",MC2003-215,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-215.pdf,"CELEBRATION DRUG ABUSE PREVENTION,"
3403,SUBSCRIPTION TO THE OFFICIAL GAZETTE,MC2003-213,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-213.pdf,SUBSCRIPTION TO THE OFFICIAL GAZETTE
3402,SPORTS TOURISM AND ADVENTURE TRAVEL SHOW,MC2003-212,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-212.pdf,SPORTS TOURISM AND ADVENTURE TRAVEL SHOW
3401,CLEARING OF DRUG-AFFECTED BARANGAYS,MC2003-211,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-211.pdf,CLEARING OF DRUG-AFFECTED BARANGAYS
3400,ENJOINING LOCAL GOVERNMENT OFFICIALS TO ATTEND THE PROGRAM ON STRENGTHENING LGU-TESDA PARTNERSHIP FOR THE EFFECTIVE DELIVERY OF TECHNICAL EDUCATION AND SKILLS DEVELOPMENT PROGRAMS,MC2003-210,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-210.pdf,ENJOINING LOCAL GOVERNMENT OFFICIALS TO
3399,18TH SESSION OF THE EXECUTIVE COMMITTEE OF CITY NET AND INTERNATIONAL SEMINAR ON CITY REVITALIZATION,MC2003-209,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-209.pdf,18TH SESSION OF THE EXECUTIVE COMMITTEE
3398,"""GET ONE TOURIST FOR THE COUNTRY"" INCENTIVE PROGRAM",MC2003-208,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-208.pdf,"""GET ONE TOURIST FOR THE COUNTRY"""
3397,INTER-CITIES CHESS CHAMPIONSHIPS,MC2003-207,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-207.pdf,INTER-CITIES CHESS CHAMPIONSHIPS
3396,BARANGAY IMMERSION FOR ALL RECRUITS AND STUDENTS OF ALL COURSES IN THE PHILIPPINE PUBLIC SAFETY COLLEGE (PPSC) CONSTITUTIVE UNITS,MC2003-206,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-206.pdf,PHILIPPINE PUBLIC SAFETY COLLEGE (PPSC)
3395,"SUPPORT TO THE PHILIPPINE FOLLOW-UP MEASLES ELIMINATION CAMPAIGN (PFMEC) ON FEBRUARY 2-29, 2004 AND REITERATION OF MC NO. 98-49",MC2003-205,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-205.pdf,PHILIPPINE MEASLES ELIMINATION CAMPAIGN
3394,INTEGRATION OF THE STANDARD DAYS METHOD (SDM) IN THE LOCAL GOVERNMENT FAMILY PLANNING PROGRAM,MC2003-204,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-204.pdf,STANDARD DAYS METHOD (SDM)
3393,AMENDMENT TO MEMORANDUM CIRCULAR NO. 2003-137 RE: ORIENTATION-TRAINING ON LOCAL COUNCILS OF WOMEN (LCW),MC2003-203,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-203.pdf,LOCAL COUNCILS OF WOMEN (LCW)
3392,GENERAL ASSEMBLY ON STRENGTHENING NGO-GO PARTNERSHIP THROUGH THE LOCAL COUNCILS OF WOMEN,MC2003-202,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-202.pdf,LOCAL COUNCILS OF WOMEN
3391,SEMINAR WORKSHOP ON VIRTUAL GMAC,MC2003-201,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-201.pdf,SEMINAR WORKSHOP ON VIRTUAL GMAC
3390,"ATTENDANCE TO THE LGU SHELTER CONFERENCE ON OCTOBER 15, 2003",MC2003-200,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-200.pdf,ATTENDANCE TO THE LGU SHELTER CONFERENCE
3389,PBMLP 2003 MAJOR ISLAND CONFERENCES,MC2003-199,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-199.pdf,PBMLP 2003 MAJOR ISLAND CONFERENCES
3388,PALP 1ST ORGANIZATIONAL MEETING,MC2003-198,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-198.pdf,PALP 1ST ORGANIZATIONAL MEETING
3387,12TH ANNIVERSARY OF THE LOCAL GOVERNMENT CODE,MC2003-197,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-197.pdf,12TH ANNIVERSARY LOCAL GOVERNMENT CODE
3386,ENJOINING LOCAL OFFICIALS TO PARTICIPATE IN THE 3rd ICD,MC2003-196,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-196.pdf,ENJOINING TO PARTICIPATE IN THE 3rd ICD
3385,"SUPPORT TO VIP-CWS/NSTP QUALIFYING COURSE FOR COORDINATORS, LECTURERS, VOLUNTEERS AND STAKEHOLDERS",MC2003-195,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-195.pdf,SUPPORT TO VIP-CWS/NSTP QUALIFYING
3384,ATTENDANCE TO 2003 NATIONAL HOUSING CONVENTION,MC2003-194,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-194.pdf,2003 NATIONAL HOUSING CONVENTION
3383,7TH YEAR CELEBRATION OF THE NATIONAL URBAN PEST CONTROL WEEK,MC2003-193,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-193.pdf,CELEBRATION NATIONAL URBAN PEST CONTROL
3382,AMENDMENT TO MC NO. 2003-183 RE: WORKSHOP ON TOURISM STATISTICS,MC2003-192,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-192.pdf,AMENDMENT TO MC NO. 2003-183
3381,18TH INTERNATIONAL COASTAL CLEAN-UP,MC2003-191,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-191.pdf,18TH INTERNATIONAL COASTAL CLEAN-UP
3380,POLICY GUIDELINES AND PROCEDURES IN THE PREPARATION OF FY 2003 (2nd SEMESTER) REALIGNED OPERATIONS PLAN AND BUDGET,MC2003-190,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-190.pdf,POLICY GUIDELINES AND PROCEDURES
3379,ENHANCING LOCAL PREPAREDNESS FOR ANY CALAMITIES,MC2003-189,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-189.pdf,LOCAL PREPAREDNESS FOR ANY CALAMITIES
3378,ATTENDANCE TO THE FIRST NATIONAL TRI-PARTITE COOPERATIVE CONFERENCE-WORKSHOP FOR COOPERATIVE DEVELOPMENT,MC2003-188,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-188.pdf, NATIONAL TRI-PARTITE COOPERATIVE CONFERENCE
3377,OBSERVANCE OF CHILDREN'S MONTH 2003,MC2003-187,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-187.pdf,OBSERVANCE OF CHILDREN'S MONTH 2003
3376,ENVIRONMENTAL PEST ABATEMENT MAINTENANCE PROGRAM,MC2003-186,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-186.pdf,PEST ABATEMENT MAINTENANCE PROGRAM
3375,CONDUCT OF RIZAL YOUTH LEADERSHIP INSTITUTE CONFERENCE FOR YEAR 2003-2004,MC2003-185,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-185.pdf, RIZAL YOUTH LEADERSHIP
3374,"REITERATION OF MC NO. 96-257 DATED NOVEMBER 29, 1996 RE: DESIGNATION OF PROVINCIAL/CITY LOCAL GOVERNMENT OPERATIONS OFFICER (HUC) AS PROVINCIAL/CITY DIRECTOR",MC2003-184,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-184.pdf,REITERATION OF MC NO. 96-257
3373,WORKSHOP ON TOURISM STATISTICS FOR THE 14TH NATIONAL STATISTICS MONTH (NSM) CELEBRATION,MC2003-183,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-183.pdf,NATIONAL STATISTICS MONTH (NSM)
3372,THE OUTSTANDING POLICEMEN OF THE PHILIPPINES (TOPP) 2003,MC2003-182,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-182.pdf,OUTSTANDING POLICEMEN (TOPP) 2003
3371,OBSERVANCE OF CY 2003 NATIONAL HEROES DAY,MC2003-181,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-181.pdf,CY 2003 NATIONAL HEROES DAY
3370,GRP PANEL-RPMM PEACE NEGOTIATIONS,MC2003-180,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-180.pdf,GRP PANEL-RPMM PEACE NEGOTIATIONS
3369,103rd ANNIVERSARY OF THE PHILIPPINE CIVIL SERVICE,MC2003-179,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-179.pdf,103rd ANNIVERSARY PHILIPPINE CIVIL SERVICE
3368,2003 NATIONAL LITERACY CONFERENCE AND AWARDS,MC2003-178,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-178.pdf,2003 NATIONAL LITERACY CONFERENCE AND AWARDS
3367,"OCTOBER 18, 2003 SYNCHRONIZED BARANGAY ASSEMBLY DAY (PP 342 AND DILG MC-2003-57)",MC2003-177,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-177.pdf,SYNCHRONIZED BARANGAY ASSEMBLY DAY
3366,"TEXT PATROL ""117"" - A COMPONENT OF PATROL ""117"" PROGRAM",MC2003-176,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-176.pdf,"A COMPONENT OF PATROL ""117"" PROGRAM"
3365,STATESMANSHIP CONCLAVE FOR ELECTED INDIGENOUS LOCAL LADY OFFICIALS IN THE CORDILLERA ADMINISTRATIVE REGION,MC2003-175,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-175.pdf,CORDILLERA ADMINISTRATIVE REGION
3364,INSTITUTIONALIZATION OF COMMUNITY-BASED TRAINING FOR ENTERPRISE DEVELOPMENT (CBTED) AT THE LOCAL LEVEL AND ESTABLISHMENT/CREATION OF CORRESPONDING SUPPORT MECHANISMS,MC2003-174,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-174.pdf,COMMUNITY-BASED TRAINING(CBTED)
3363,THE REGIONAL GATHERING OF BUSINESS-FRIENDLY CITIES AND MUNICIPALITIES IN THE VISAYAS : A CONFERENCE ON THE SIMPLIFICATION OF PROCEDURES IN THE ISSUANCE OF BUSINESS PERMITS,MC2003-173,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-173.pdf,BUSINESS-FRIENDLY CITIES AND MUNICIPALITIES 
3362,CLARIFICATION ON THE IMPLEMENTATION OF SECTION 7 OF THE RULES AND REGULATIONS IMPLEMENTING R.A. 9178,MC2003-172,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-172.pdf,IMPLEMENTING R.A. 9178
3361,WORKSHOP ON LOCAL AUTONOMY FOR LOCAL CHIEF EXECUTIVES,MC2003-171,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-171.pdf,WORKSHOP ON LOCAL AUTONOMY
3360,OBSERVANCE OF FAMILY WEEK 2003,MC2003-170,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-170.pdf,OBSERVANCE OF FAMILY WEEK 2003
3359,2003 OBSERVANCE OF THE ELDERLY FILIPINO WEEK,MC2003-169,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-169.pdf,2003 ELDERLY FILIPINO WEEK
3358,"PARTICIPATION OF THE PATROL ""117"" COMMUNITY-BASED NETWORK IN THE OBSERVANCE OF THE CRIME PREVENTION MONTH",MC2003-166,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-166.pdf,OBSERVANCE OF THE CRIME PREVENTION MONTH
3357,2004 SEARCH FOR THE COUNTRY'S OUTSTANDING POLICEMEN IN SERVIC,MC2003-165,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-165.pdf,2004 COUNTRY'S OUTSTANDING POLICEMEN
3356,DILG-VMLP CAPABILITY BUILDING PARTNERSHIP PROGRAM,MC2003-164,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-164.pdf,DILG-VMLP CAPABILITY BUILDING PARTNERSHIP
3355,PARTICIPATION IN THE ANNUAL EVENT OF ALAY LAKAD 2003,MC2003-163,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-163.pdf,ANNUAL EVENT OF ALAY LAKAD 2003
3354,2nd CHARACTER CONFERENCE,MC2003-162,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-162.pdf,2nd CHARACTER CONFERENCE
3353,CONFERENCE/WORKSHOP/SURVEY (CWS) ON LGU INFORMATION MANAGEMENT,MC2003-161,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-161.pdf,CONFERENCE/WORKSHOP/SURVEY (CWS)
3352,ATTENDANCE TO THE CONFERENCE/WORKSHOP/SURVEY (CWS) ON LGU INFORMATION MANAGEMENT,MC2003-160,,28/12/2003,,CONFERENCE/WORKSHOP/SURVEY (CWS)
3351,COMMEMORATION OF THE 20TH DEATH ANNIVERSARY OF SENATOR BENIGNO S. AQUINO JR.,MC2003-158,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-158.pdf,SENATOR BENIGNO S. AQUINO JR.
3350,SUPPLEMENTARY GUIDELINES IN THE CONDUCT OF THE SYNCHRONIZED KATIPUNAN NG KABATAAN ASSEMBLY NATIONWIDE,MC2003-157,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-157.pdf,SUPPLEMENTARY GUIDELINES 
3349,GUIDELINES ON DRUG TESTING FOR DILG OFFICIALS AND PERSONNEL,MC2003-156,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-156.pdf,DRUG TESTING FOR DILG OFFICIALS
3348,SUBMISSION OF THE LIST OF PROVINCIAL JAIL DETAINEES,MC2003-155,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-155.pdf,LIST OF PROVINCIAL JAIL DETAINEES
3347,24th NATIONAL SUPER QUIZ BEE,MC2003-154,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-154.pdf,24th NATIONAL SUPER QUIZ BEE
3346,"REITERATION OF DILG MC. NO 2000-91 DATED JULY 14, 2000, ENTITLED, ""IMPLEMENTATION OF REPUBLIC ACT NO. 8485"", OTHERWISE KNOWN AS "" THE ANIMAL WELFARE ACT OF 1998""",MC2003-153,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-153.pdf,DILG MC. NO 2000-91
3345,FNRI-DOST 6th NATIONAL NUTRITION SURVEY,MC2003-152,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-152.pdf,FNRI-DOST 6th NATIONAL NUTRITION SURVEY
3344,ATTENDANCE TO THE BASIC OCCUPATIONAL SAFETY AND HEALTH (BOSH) COURSE,MC2003-151,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-151.pdf,OCCUPATIONAL SAFETY AND HEALTH
3343,LUZON CONFERENCE ON GOOD GOVERNANCE,MC2003-150,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-150.pdf,LUZON CONFERENCE ON GOOD GOVERNANCE
3342,LGU SUPPORT TO THE COCONUT DEVELOPMENT ZONE PROGRAM,MC2003-149,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-149.pdf,LGU COCONUT DEVELOPMENT ZONE PROGRAM
3341,"CELEBRATION OF THE ""14TH NATIONAL STATISTICS MONTH"" IN OCTOBER 2003",MC2003-146,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-146.pdf,"""14TH NATIONAL STATISTICS MONTH"" IN OCTOBER 2003"
3340,COMMEMORATION OF THE INTERNATIONAL HUMANITARIAN LAW DAY,MC2003-145,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-145.pdf,INTERNATIONAL HUMANITARIAN LAW DAY
3339,"""ZERO CASUALTY"" IN TIMES OF CALAMITY",MC2003-144,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-144.pdf,"""ZERO CASUALTY"" IN TIMES OF CALAMITY"
3338,PAYMENT OF ANNUAL MEMBERSHIP DUES BY ALL BARANGAY SKs TO THE PEDERASYON NG MGA SANGGUNIANG KABATAAN AT ALL LEVELS,MC2003-143,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-143.pdf,ANNUAL MEMBERSHIP DUES
3337,"CELEBRATION OF 14TH DOST ANNUAL S & T FAIR ON JULY 14-18, 2003 AT THE PHILIPPINE TRADE TRAINING CENTER (PTTC), ROXAS BLVD COR. SEN. GIL PUYAT AVE., PASAY CITY",MC2003-142,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-142.pdf,14TH DOST ANNUAL S & T FAIR
3336,GRP-RPM-P/RPA/ABB PEACE AGREEMENT,MC2003-141,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-141.pdf,GRP-RPM-P/RPA/ABB PEACE AGREEMENT
3335,DILG-BAP BASKETBALL PROGRAM,MC2003-140,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-140.pdf,DILG-BAP BASKETBALL PROGRAM
3334,PBMLP-DILG CAPABILITY-BUILDING PARTNERSHIP PROGRAM,MC2003-139,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-139.pdf,PBMLP-DILG CAPABILITY-BUILDING PARTNERSHIP
3333,"NUTRITION MONTH CELEBRATION JULY, 2003",MC2003-138,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-138.pdf,"NUTRITION MONTH CELEBRATION JULY, 2003"
3332,"AMENDMENT TO MC. NO. 2003-79 DATED APRIL 15, 2003",MC2003-137,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-137.pdf,"AMENDMENT TO MC. NO. 2003-79 DATED APRIL 15, 2003"
3331,eLGU CONFERENCE/WORKSHOP/SURVEY (CWS) ON INFORMATION MANAGEMENT,MC2003-136,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-136.pdf,CONFERENCE/WORKSHOP/SURVEY (CWS)
3330,LMP 2003 MAJOR ISLAND CONFERENCES,MC2003-135,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-135.pdf,LMP 2003 MAJOR ISLAND CONFERENCES
3329,CY 2003 OPERATIONS PLAN AND BUDGET - INTERIOR SECTOR,MC2003-134,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-134.pdf,OPERATIONS PLAN AND BUDGET - INTERIOR SECTOR
3328,PROVISION OF BARANGAY YOUTH DESK,MC2003-133,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-133.pdf,PROVISION OF BARANGAY YOUTH DESK
3327,CONDUCT OF THE SYNCHRONIZED KATIPUNAN NG KABATAAN ASSEMBLY NATIONWIDE,MC2003-132,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-132.pdf,SYNCHRONIZED KATIPUNAN NG KABATAAN ASSEMBLY 
3326,STRENGTHENING OF ANTI-DRUG ABUSE COUNCILS,MC2003-131,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-131.pdf,STRENGTHENING OF ANTI-DRUG ABUSE COUNCILS
3325,IMPLEMENTATION OF THE ACCESSIBILITY LAW (BATAS PAMBANSA BLG. 344),MC2003-130,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-130.pdf,ACCESSIBILITY LAW (BATAS PAMBANSA BLG. 344)
3324,"IMLEMENTATION OF REPUBLIC ACT NO. 7432, OR AN ACT TO MAXIMIZE THE CONTRIBUTIONS OF SENIOR CITIZENS TO NATION-BUILDING",MC2003-129,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-129.pdf,REPUBLIC ACT NO. 7432
3323,DELIVERY OF TEXTBOOKS,MC2003-128,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-128.pdf,DELIVERY OF TEXTBOOKS
3322,PHILIPPINES ARBOR DAY,MC2003-127,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-127.pdf,PHILIPPINES ARBOR DAY
3321,JOG AND WALK FOR A CAUSE LABAN SA DROGA,MC2003-125,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-125.pdf,JOG AND WALK FOR A CAUSE LABAN SA DROGA
3320,DISSEMINATION OF MEMORANDUM CIRCULAR NO. 2003-89 RE: REVIEW OF JOB DESCRIPTIONS AND FILLING UP OF PLANTILLA POSITIONS FOR MIDWIVES AND PARTICIPATION IN THE FORA ON THE SAME,MC2003-124,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-124.pdf,MEMORANDUM CIRCULAR NO. 2003-89
