NO,TITLE,REFERENCE NUMBER,RESPONSIBLE OFFICE ,DATE ,URL,KEY WORD/S
1314,Celebration of the 27th National Statistics Month (NSM) and 13th National Convention on Statistics (NCS),MC2016-77,"Provincial Governors,City Mayors, Municipal Mayors, DILG Regional Directors and others concerned",07/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201667_feb3911af8.pdf, 27th National Statistics Month (NSM) 
1313,"2016 Hajj or Pilgrimage to Mecca,Kingdom of Saudi Arabia (KSA)",MC2016-78,"All Provincial Governors,City Mayors,Municipal Mayors,The ARMM Regional Governor,DILG Regional Directors,and others concerned",07/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201667_4f1af46231.pdf,2016 Hajj or Pilgrimage 
1312,118th Philippine Independence Day Celebration,MC2016-79,"All Provincial Governors, City Mayors, Municipal Mayors, The ARMM Regional Governor,DILG Regional Directors,and others concerned",10/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016610_f25ee5578e.pdf,118th Philippine Independence Day Celebration
1311,38th National Disability Prevention and Rehabilitation Week,MC2016-80,"All Provincial Governors, City / Municipal Mayors, Punong Barangays, DILG Regional Directors and others concerned",10/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016610_6b76cea938.pdf,38th National Disability
1309,Second National Integrated Waste Management Exhibition and Environment Summit,MC2016-81,"All City and Municipal Mayors,DILG Regional Directors, DILG Field Officers, and all others concerned",16/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016616_f25073b3f1.pdf,Second National Integrated
1308,Guidelines on the Release of Funds from DILG Region VI and VII to DILG-NIR for the CY 2016 BuB Infrasructure Projects-Water Supply and Evacuation Center and PAyapa at MAsaganang PamayaNAn (PAMANA)-DILG,MC2016-82,DILG Regions VI and VII and NIR Regional Directors and all concerned LGUs/Implementing Partners of NIR,16/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016616_de6238de50.pdf,Guidelines on the Release of Funds
1307,2016 2nd Quarter Nationwide Simultaneous Earthquake Drill (NSED),MC2016-83,"All Provincial Governors, City Mayors, Municipal Mayors, The ARMM Regional Governor, DILG Regional Directors, and others concerned",16/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016616_27184aa67c.pdf,2016 2nd Quarter Nationwide
1306,Community-Based Crime Prevention Mechanisms to Ensure Safety of Korean Nationals Residing in the Philippines,MC2016-84,"All Provincial Governors, ARMM Regional Governor, City/Municipal Mayors, Punong Barangays, DILG Regional Directors and ARMM Regional Secretary and others concerned",17/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016617_a17f0f7eeb.pdf,Community-Based Crime Prevention
1305,"Inviting Nominations and Submission of Applications to the 7th Ramon Aboitiz Foundation,Inc. Triennial Awards",MC2016-85,"Provincial Governors,City Mayors, Municipal Mayors, ARMM Regional Governors, DILG Regional Directors of Regions VI, VII, VIII, IX, X, XI, XII, XIII, NIR, and all others concerned",21/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016621_0fd3398336.pdf,Inviting Nominations 
1304,"2016 International Conference on Urban Development :Accelerating Resilience and Inclusive Growth,July 12-13,2016,Sofitel Philippine Plaza Manila,Pasay City",MC2016-86,"All Provincial Governors,City Mayors and Municipal Mayors and all others concerned",22/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016622_1449234fed.pdf,2016 International Conference
1303,"Provincial Federation, City Chapter and Regional Council Elections of the Philippine Councilors League",MC2016-87,"All Provincial Governors, City Mayors,Municipal Mayors, ARMM Regional Governor, DILG Regional Directors and others concerned",24/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016624_b7a31c634f.pdf,"Provincial Federation,"
1302,Observance of the International Day Against Drug Abuse and Illicit Trafficking,MC2016-88,"All Provincial Governors, City Mayors, Municipal Mayors, The ARMM Regional Governor, DILG Regional Directors,and others concerned",27/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016627_089559961d.pdf,Observance of the International Day 
1301,Vice Mayors' League of the Philippines (VMLP) Provincial Chapter Elections and Regional Assembly Elections for the Term 2016-2019,MC2016-89,"All Provincial Governors, City Mayors and Municipal Mayors, ARMM Regional Governors, DILG Regional Directors and others concerned",28/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016628_7ead9b0cb7.pdf,Vice Mayors' League of the Philippines
1300,Participation in the 2016 Nutrition Month Celebration,MC2016-90,"All Provincial Governors, City and Municipal Mayors, Punong Barangays, DILG Regional Directors, ARMM Regional Secretary and others concerned",29/06/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016629_6be841eb7a.pdf,Participation in the 2016 Nutrition Month Celebration
1299,Search for Outstanding Volunteers 2016,MC2016-91,"All Provincial Governors, City and Municipal Mayors, DILG Regional / Provincial/City Directors,MLGOOs, and all others concerned",04/07/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201674_9fd20e20f2.pdf,Search for Outstanding Volunteers 2016
1298,65th National Assembly and Election of Officers of the League of Vice Governors of the Philippines,MC2016-92,"All Provincial Governors, DILG Regional Directors and others concerned",05/07/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201675_d5fe44260d.pdf,65th National Assembly
1297,"Attendance to the 4th Farm Tourism Conference on July 14-16, 2016 at the Summit Ridge Hotel,Tagaytay City",MC2016-93,"All Provincial Governors, Vice-Governors, City and Municipal Mayors, City and Municipal Vice-Mayors, Leaders of Tourism Councils, Tourism Officers, DILG Regional Directors, and all others concerned",13/07/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016713_8748ed68ca.pdf,Attendance to the 4th Farm Tourism
1296,Simultaneous Reorganization of NMYL Regional and Provincial Chapters,MC2016-94,"All Provincial Governors, City Mayors,Municipal Mayors, ARMM Regional Governor,Presiding Officers of the Sanggunians, DILG Regional Directors and others concerned",15/07/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016715_b51557b9fe.pdf,Simultaneous Reorganization
1295,"Procurement of Goods and Services,Infrastructure Projects,and Consulting Services",MC2016-96,All concerned DILG Officials and Employees both Local Government and Interior Sectors ans its Attached Agencies,18/07/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016718_c1edee7d12.pdf,Procurement of Goods
1294,"2016 Accreditation of Civil Society Organizations, and Selection of Representatives to the Local Special Bodies",MC2016-97,All Concerned,20/07/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016720_83114cc548.pdf,2016 Accreditation of Civil Society
1293,Volunteerism Story Writing Contest,MC2016-98,"All Provincial Governors, City / Municipal Mayors, DILG Regional Directors, and all others concerned",22/07/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016722_a7c5b5e024.pdf,Volunteerism Story Writing Contest
1292,Submission of Nominess/Application for the conduct of 2016 most Business-friendly Local Government Unit Award,MC2016-100,"All Provincial Governors, City and Municpal Mayors,Local Economic and Investment Promotions Officer (LEIPO), DILG Regional and Provincial Directors and others concerned",01/08/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201682_e23b670234.pdf,Submission of Nominess
1291,Celebration of the Development Policy Research Month every September of each Year,MC2016-101,"All Provincial Governors, City Mayors and Municipal Mayors,DILG-ARMM Regional Governor,DILG Regional Directors and others concerned",09/08/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201689_5ae7a9c99a.pdf,Celebration of the Development
1290,Guidelines on the Preparation or Updating of Local Plans,MC2016-102,All Concerned,09/08/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201689_d6717d9f4f.pdf,Guidelines on the Preparation
1289,Regional Council Elections of the Provincial Board Members League of the Philippnes (PBMLP),MC2016-103,"All Provincial Governors of Regions I, II, III, IV-A, IV-B, V, VI, VII, VIII, IX, X, XI, XII, CARAGA, CAR, NIR, ARMM, DILG Regional Directors and others concerned",09/08/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201689_dedaa8d6be.pdf,Regional Council Elections
1288,Implementing Guidelines in the Issuance of Local Permits and Licenses pursuant to the directive of the President of the Philippines,MC 2016-104,,15/08/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201692_17bc8fb190.pdf,Implementing Guidelines
1287,Presentation of 2015 Child-Friendly Local Governance Audit (CFLGA) Results,MC2016-105,"All Provincial Governors,City and Municipal Mayors, Punong Barangays, The ARMM Governor and DILG ARMM Regional Secretary, DILG Regional Directors / Field Officers and others concerned",16/08/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016816_7a6eafefaa.pdf,Presentation of 2015
1286,Participation to the 30th National Coconut Week and the 3rd International Coconut Festival,MC2016-106,All Provincial Governors and City and Municipal Mayors,17/08/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016817_2cc7e4f648.pdf,30th National Coconut Week
1285,National Convention of the Lady Local Legislators' League of the Philippines (FOUR-L),MC2016-107,"All Provincial Governors, City and Municipal Mayors,Punong Barangays, DILG Regional Directors and others concerned",18/08/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016818_93d0b9acab.pdf,National Convention
1284,"Commemorating the "" Save Sierra Madre Day""on September 26 of every year pursuant to Presidential Proclamation Nos. 413 (s. 2012) and 233 (s. 2011)",MC2016-108,"All Provincial Governors, City and Municipal Mayors,Punong Barangays, DILG Regional Directors and all others concerned",18/08/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016818_8ea7aa5bbf.pdf,""" Save Sierra Madre Day"""
1283,2016 National Heroes Day Celebration,MC2016-109,"All Provincial Governors, City Mayors, Municipal Mayors, The ARMM Regional Governor, DILG Regional Directors and others concerned",18/08/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016818_42485987d9.pdf,2016 National Heroes Day Celebration
1282,9th National Education Summit,MC2016-110,"Provincial Governors, City Mayors, Municipal Mayors, DILG Regional Directors, and other concerned",23/08/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016823_adbc1933e2.pdf,9th National Education Summit
1281,Observance of the 31st International Coastal Clean-Up (ICC) Day,MC2016-111,"All Provincial Governors,City Mayors, Municipal Mayors, and Punong Barangays, The Regional Governor of the Autonomous Region of Muslim Mindanao and DILG Regional Directors",31/08/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016831_fb4513e7dc.pdf,31st International Coastal Clean-Up
1280,"Third International River Summit to be held on November 24-26,2016 at the Limketkai Luxe Hotel, Cagayan De Oro City",MC2016-112,"All Provincial Governors, City Mayors, Municipal Mayors, DILG Regional Directors and All Others Concerned",31/08/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016831_99795c2de8.pdf,Third International River
1279,Role of Barangay Officials as custodian of Children,MC2016-115,"All Provincial Governors,The ARMM Regional Governor, City/Municipal Mayors,Punong Barangays,DILG Regional Directors,The ARMM Regional Secretary and Field Officers, and Others Concerned",01/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201698_d10e4f880c.pdf,Role of Barangay Officials
1278,Installation of Landslide Warning Signages in High-Risk Areas,MC2016-113,All Concerned,01/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201691_4f2812921c.pdf,Installation of Landslide
1277,La Nina Advisory Update,MC2016-114,All Concerned,01/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201691_31b5f9389e.pdf,La Nina Advisory Update
1276,"Implementation of MASA MASID (Mamamayang Ayaw Sa Anomalya, Mamamayang Ayaw Sa Iligal na Droga) Program",MC2016-116,"All Provincial Governors,ARMM Regional Governor, City/Municipal Mayors,Punong Barangays,DILG ARMM Regional Secretary, DILG Regional Directors, and Field Officers,and Others Concerned",02/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201698_417769d0fd.pdf,Implementation of MASA MASID
1275,Philippine Sports Commission National Consultative Meeting,MC2016-117,"All Provincial Governors, City Mayors, Municipal Mayors, The ARMM Regional Governor, DILG Regional Directors, and Others Concerned",05/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201695_db084a0b05.pdf,Philippine Sports Commission
1274,13th Cerebral Palsy Awareness and Protection (CPAP) Week,MC2016-118,"All Provincial Governors, City / Municipal Mayors, Punong Barangays, DILG Regional Directors and Others Concerned",06/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201696_562a89a59a.pdf,13th Cerebral Palsy
1273,Guidelines for the Implementation of Public-Private Partnership for the People Initiative for Local Governments (LGU P4),MC2016-120,All Concerned,08/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201698_ba7870f62a.pdf,Guidelines for the
1272,Commemorating National Teachers 'Month from September 5 to October 5 of Every Year and the National Teachers' Day on October 5th of Every Year Pursuant to Presidential Proclamation No. 242 (S. 2011) and republic Act No. 10743 (S. 2016),MC2016-121,"All Provincial Governors, City Mayors and Municipal Mayors,Punong Barangays, DILG Regional Directors and All Others Concerned",14/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016914_343b4cc7f6.pdf,Commemorating National Teachers
1271,Sulong Pilipinas Local Governance Dialogues,MC2016-122,"All Provincial Governors,Vice Governors, City Mayors, Municipal Mayors and Liga ng mga Barangay,Regional and Provincial Directors of the Philippine National Police, DILG Regional and Provincial Directors, and Others Concerned",14/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016914_9de2408d33.pdf,Sulong Pilipinas Local
1270,Policies and Guidelines on Local Government Unit Actions on the Conduct of Audit of all Mining Sites,MC2016-123,All Concerned,14/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016914_c4f9a12af5.pdf,Policies and Guidelines
1269,Conduct of Barangay Assembly for the Second (2nd)Semester of CY 2016,MC2016-124,"All Provincial Governors, City and Municipal Mayors,Liga ng mga Barangay Chapter Presidents,DILG Regional Directors and Field Officers, ARMM Regional Governor, Punong Barangays and All Others Concerned",14/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016914_8aaeae906b.pdf,Conduct of Barangay Assembly
1268,Continuing Local Legislative Education Program (CLLEP) of the Philippine Councilors League for the 3rd and 4th Quarters of 2016,MC2016-125,"All Provincial Governors, City Mayors, Municipal Mayors, Regional Secretary, DILG ARMM, DILG Regional Directors and Others Concerned",16/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016916_d4ab7e54cd.pdf,Continuing Local Legislative
1267,"2016 Animal Welfare Week Celebration (Oct. 3-7, 2016)",MC2016-126,,19/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016919_ee3b6388ab.pdf,2016 Animal Welfare Week
1266,Observance of the 2016 Consumer Welfare Month,MC2016-127,,19/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016919_e86a9c35f3.pdf,2016 Consumer Welfare
1265,3rd Quarter Nationwide Simultaneous Earthquake Drill,MC2016-128,,19/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016919_83eda44b7b.pdf,3rd Quarter Nationwide
1264,2nd Negosyo sa Bayan Entrepreneurship Support and Development Training,MC2016-129,,19/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016919_cf0b03fd41.pdf,2nd Negosyo
1263,2016 World Rabies Day (WRD) Commemoration on the 28th of September 2016,MC2016-130,,27/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016927_54d8706281.pdf,2016 World Rabies Day
1262,"2017 Commemoration of National Bible Week (January 23-29, 2017)",MC2016-131,"Provincial Governors, City Mayors, Municipal Mayors, and DILG Regional Directors",28/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016928_3311100fd3.pdf,2017 Commemoration
1261,1st General Assembly and 3rd Regular Board Meeting of the Metro Manila Councilors League,MC2016-132,"City Mayors, Municipal Mayors, DILG Regional Director, DILG-NCR and others concerned",28/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016928_6292317e1b.pdf,1st General Assembly
1260,Conduct of Tree Planting Activity at the Barangay Level,MC2016-133,,28/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016928_ef551b2757.pdf,Conduct of Tree Planting
1259,2016 Celebration of the National Attention Deficit/Hyperactivity Disorder (AD/HD)Week,MC2016-134,"All Provincial Governors,City/Municipal Mayors,Punong Barangays, DILG Regional Directors and Others Concerned",30/09/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016930_f8e0ce4971.pdf,2016 Celebration
1258,1st Philippine Cave and Karst Forum,MC2016-135,"All Provincial Governors, City Mayors, Municipal Mayors, DILG Regional Directors, ARMM Regional Governor and Others Concerned",03/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016103_5c0d23bb2d.pdf,1st Philippine Cave and Karst Forum
1257,27th National Statistics Month (NSM) and 13th National Convention on Statistics (NCS) in October 2016,MC2016-137,"All Provincial Governors, City and Municipal Mayors, DILG Regional Directors, The ARMM Regional Governor, and All Others Concerned",04/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016104_cf32953c09.pdf,27th National Statistics
1256,"Implementing Temporary Closure of Roads,Bridges and other Critical Thoroughfares",MC2016-138,All Concerned,04/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016104_760c21a67d.pdf,Implementing Temporary
1255,Updated Specification of Cadaver Bags for the Management of the Dead and Missing Persons,MC2016-139,All Concerned,04/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016104_9d8e4b9d55.pdf,Updated Specification
1254,Attendance to the Summit on Disaster Risk Reduction and Climate Change Adaptation and Mitigation:The Philippine Experience,MC2016-136,All Concerned,04/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016104_ec2d192c05.pdf,Attendance to the Summit
1253,18-Day Campaign to end Violence Against Women (VAW),MC2016-140,"All Provincial Governors,The ARMM Regional Governor, City / Municipal Mayors, DILG Regional Directors, DILG ARMM Regional Secretary, Field Officers and Others Concerned",06/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016106_ec1c7b58df.pdf,Violence Against Women (VAW)
1252,Revitalization of the Sub-National Peace and Order Councils,MC2016-141,All Concerned,10/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161010_c7aaa0f401.pdf,Sub-National Peace
1251,Observance of the 25th Anniversary of the Local Government Code,MC2016-142,"All Provincial Governors, City Mayors, Municipal Mayors, ARMM Regional Governor, DILG Regional Directors, and Others Concerned",12/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161012_7ce694fce0.pdf,25th Anniversary of the Local
1250,66th National Assembly of the League of Vice Governors of the Philippines (LVGP),MC2016-143,"All Provincial Governors, the ARMM Regional Governor, DILG Regional Directors and Others Concerned",13/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161013_46a7043250.pdf,66th National Assembly
1249,Attendance to the conduct of National LGU Information and Communications Technology (ICT) Forum,MC2016-144,"All City and Municipal Mayors, Business Permit and Licensing Officers (BPLOs) Information and Communication Technology Officer, City and Municipal Treasurers, DILG Regional Directors and All Others Concerned",18/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161018_28e1d47299.pdf,Attendance to the
1248,Observance of Deaf Awareness Week,MC2016-145,"All Provincial Governors,City/Municipal Mayors,Punong Barangays,The ARMM Regional Governor,DILG Regional Directors,and Others Concerned",18/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161018_4e7963fb62.pdf,Observance of Deaf Awareness Week
1247,Operational Autonomy of the Local Water Districts,MC2016-146,"All Provincial Governors, City/Municipal Mayors, DILG Regional Directors and Others Concerned",19/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161019_3f39e665bc.pdf,Operational Autonomy of the Local Water Districts
1246,"Establishment of the Monitoring and Evaluation System for Memorandum Circular No. 2015-056 ""Guidelines for the Implementation of the DILG Micro-Medium-Rise Building (MMRB)Projects by the LGUs""",MC2016-147,"All Provincial Governors, City/Municipal Mayors, DILG Regional Directors and Others Concerned",24/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161019_3f39e665bc.pdf,Memorandum Circular No. 2015-056
1245,Local Government actions on peaceful and safe observance of UNDAS 2016,MC 2016-148,,25/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161025_ea15f24688.pdf,Local Government actions
1244,President's Directive re: Employment for Dependents of PNP/AFP personnel killed/wounded during legitimate Police/Military Operations,MC 2016-149,DILG Central Office Personnel and Financial Division and Regional Offices,26/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-201728_b8b2886fc1.pdf,President's Directive
1243,Philippine Heart Center-Workshop on Performance Governance System (PGS)Module I,MC2016-150,"DILG Regional Directors of Regions I to XIII, CAR,NCR and the ARMM Regional Governor, and Provincial Governors, City Mayors, Municipal Mayors",28/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161028_f97172a024.pdf,Philippine Heart Center
1242,"Galing Pook Governance Fair 2016 Dubbed as ""ADAPT+INNOVATE,*To be held on November 10-11,2016 at the Novotel,Araneta Center, Quezon City",MC2016-151,"All Provincial Governors, City Mayors,Municipal Mayors,DILG Regional Directors and All Others Concerned",28/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161028_b6f69065d6.pdf,Galing Pook Governance
1241,2016 National Rice Awareness Celebration in the Month of November,MC2016-152,"All Provincial Governors,City Mayors,Municipal Mayors,The ARMM Regional Governor, and DILG Regional Directors",28/10/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161028_7b71ee62cb.pdf,2016 National Rice Awareness
1240,Guidelines for the release of the 2016 Performance Challenge Fund (PCF),MC 2016-153,"All Provincial Governors, City/Municipal Mayors, DILG Regional/Provincial/City Director, Cluster Heads, CLGOOs/MLGOOs/ARMM Secretary",02/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016112_58b702a41a.pdf,Guidelines for the
1239,Champions for Health Governance Awards 2017,MC2016-154,"All Provincial Governors, City Mayors, Municipal Mayors,The ARMM Regional Governor, DILG Regional Directors, and All Others Concerned",02/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016112_2ea383fc03.pdf,Champions for Health Governance Awards 2017
1238,"Attendance to the Conduct of the 6th National Conference on Population, Health and Environment (PHE)",MC2016-155,"All Provincial Governors, City / Municipal Mayors, The ARMM Regional Governor, and DILG Regional Directors and Others Concerned",02/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016112_03c7cb003c.pdf,Attendance to the
1237,Attendance to the Conduct of the 1st National Family Planning Conference,MC2016-156,"All Provincial Governors, City / Municipal Mayors, The ARMM Regional Governor, and DILG Regional Directors and Others Concerned",02/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016112_dc91358bb6.pdf,Attendance to the
1236,"Supplemental Guidelines to DILG Memorandum Circular No. 2016-113, dated September 1,2016, Titled ""Installation of Landslide Warning Signages in High-Risk Areas""",MC2016-158,All Concerned,02/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016112_f8fe539ae6.pdf,DILG Memorandum Circular No. 2016-113
1235,2016 Batang Pinoy National Sports Competition,MC2016-157,"All Provincial Governors, City / Municipal Mayors, The Regional Governor of the Autonomous Region in Muslim Mindanao,DILG Regional Directors, and Others Concerned",02/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016112_d6e74bdfec.pdf,2016 Batang Pinoy National Sports Competition
1234,Consolidation and Submission of Tentative Schedules for the Provincial Federalism Forum/Summit in your Respective Regions,MC2016-159,"All DILG Regional Directors and Provincial Directors, DILG Regional and Provincial Focal Persons on Federalism",02/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016112_214088a132.pdf,Consolidation and Submission
1233,"Policies and Guidelines on the Implementating Rules and Regulations of Republic Act No. 10868, otherwise known as the ""Centenarians Act of 2016""",MC2016-160,"All Provincial Governors, City and Municipal Mayors, DILG Regional Directors, ARMM Regional Governors, and all others concerned",03/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016113_da4411ee67.pdf,Policies and Guidelines
1232,E-Readiness Survey for Cities and Municipalities 2016,MC2016-161,"All City and Municipal Mayors, DILG Regional Directors, and all others concerned",03/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-2016113_42a3dff1b6.pdf,E-Readiness Survey
1231,54th National Rizal Youth Leadership Institute (NRYLI) Conference,MC2016-162,"All Provincial Governors and Vice Governors, City Mayors, Municipal Mayors and Vice Mayors, Punong Barangays, The ARMM Regional Governor, DILG Regional Directors and Field Officers, The ARMM Regional Secretary, and others concerned",10/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161110_482dd58ab9.pdf,54th National Rizal Youth
1230,Celebration of National Children's Month in November 2016,MC2016-163,"All Provincial Governors, City and Municipal Mayors,Punong Barangays,The ARMM Governor and DILG ARMM Regional Secretary,DILG Regional Directors/Field Officers and Others Concerned",11/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161111_ca225a076c.pdf,National Children's Month
1229,Attendance to the 2016 Liga ng mga Barangay sa Pilipinas (LnB) General Assembly,MC2016-164,"Provincial Governors, City and Municipal Mayors, Liga ng mga Barangay Regional/Provincial/City Municipal Chapter Presidents, DILG Regional Directors, ARMM DILG Regional Secretary and all others concerned",14/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161114_d524d43dac.pdf,2016 Liga ng mga
1228,Establishment of a Local Governance Innovative Solutions Bank,MC2016-165,All Concerned,16/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161116_754878f1cc.pdf,Establishment of a
1227,Enjoining the participation of Local Chief Executives and its Business Permit and Licensing Officer to the Executive forum on enhanced BPLS,MC 2016-166,"All Cities, 1st Municipalities and Capital Towns",22/11/2016,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/dilg-memocircular-20161128_685eeab077.pdf,Enjoining the participation
