NO,TITLE,REFERENCE NO,DATE,URL,RESPONSIBLE OFFICE,Keyword/s,,,,,,,,,,,,,,,,,,,
97,Guidelines on the Delivery of Basic Health Services for Indigenous Cultural Communities / Indigenous Peoples,JMC2013-01,15/11/2013,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-20131115-0f68323c2f.pdf,"All DOH, NCIP and DILG Units, Levels and Attached Agencies, Local Government Units, Indigenous Cultural Communities / Indigenous Peoples, and all concerned public, private and Civil Society Organizations",Delivery of Basic Health Services,,,,,,,,,,,,,,,,,,,
96,Memorandum of Agreement between SSS and DILG,,19/02/2014,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-2014219-b4f27ef3c8.pdf,,Memorandum of Agreement between SSS and DILG,,,,,,,,,,,,,,,,,,,
95,"Memorandum of Agreement between DILG, DOT and DAP",,26/02/2014,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-2014226-30db5bd714.pdf,,"Memorandum of Agreement between DILG, DOT and DAP",,,,,,,,,,,,,,,,,,,
94,Preparation of FY 2015 Gender and Development (GAD) Plans and Budgets and FY 2013 GAD Accomplishment Reports,JMC No. 2014-01,09/05/2014,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-201459-08e8f54000.pdf,"All Provincial Governors, City and Municipality Mayors,Punong Barangays,Members of the Local Sanggunian,DILG Regional Directors, ARMM Governor, DILG-ARMM Regional Secretary and all others concerned",Gender and Development (GAD) Plans and Budgets,,,,,,,,,,,,,,,,,,,
93,Guidelines in the management of the PAyapa at MAsaganang PamayaNAn or PAMANA-DILG FUND FOR FY 2014-2016 for Infrastructure Component (Pillar 3),JMC2014-02,13/06/2014,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-2014613-4a2674335f.pdf,"DILG Regional Directors, Provincial and City Directors, and MLGOOs of CAR, IV-A, IV-B, V, VI, VII, VIII, IX, X, XI, XII and XIII, Governors, Municipal/City Mayors of PAMANA-DILG FUND LGUs and all others concerned",PAyapa at MAsaganang PamayaNAn or PAMANA-DILG FUND,,,,,,,,,,,,,,,,,,,
92,"Coordination of Government Agencies for the Implementation of Republic Act No. 7183 (An Act Regulating the Sale,Manufacture,Distribution and Use of Firecrackers and other Pyrotechnic Devices)and Adoption of Advocacy Campaigns and Measures for the Prevention of Injuries, Death and damage to Properties caused by Firecrackers",JMC No 01 S2014,05/12/2014,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2014125_abf80950e3.pdf,"All Provincial Governors, City Mayors, Municipal Mayors, Punong Barangays, The ARMM Regional Governor, DILG Regional Directors, Officers of the Philippine National Police, Bureau of Fire Protection, Department of Health, Department of Trade and Industry,D",Coordination of Government Agencies,,,,,,,,,,,,,,,,,,,
91,"Mainstreaming Human Rights through Rule of Law and Access to Justice at the Level of Provinces,Cities,Municipalities and Barangays",JMC No 01 S 2014,19/12/2014,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20141219_d0214ba253.pdf,"All Provincial Governors,City and Municipal Mayors,Punong Barangays,DILG Regional Directors and Field Officers,The ARMM Regional Governor and DILG Regional Secretary,CHR Regional Directors and others concerned",Mainstreaming Human Rights,,,,,,,,,,,,,,,,,,,
90,"IP Health Strategic Plan on the Implementation of DOH-NCIP-DILG JMC No. 2013-01 ""Guidelines on the Delivery of Basic Health Services for Indigenous Cultural Communities / Indigenous Peoples",JMC No 2013-01,04/02/2015,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-201524_12a043e413.pdf,All Concerned,IP Health Strategic Plan,,,,,,,,,,,,,,,,,,,
89,Guidelines on the Release of the Twenty Percent (20%) LGU Share from Fire Code Revenues,JC No. 2015-01,12/02/2015,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2015212_cf2966c253.pdf,"Heads of Departments (DOF-BTr,DBM,DILG-BFP)Local Chief Executives,Treasurers and All others Concerned",Release of the Twenty Percent (20%) LGU Share,,,,,,,,,,,,,,,,,,,
88,"Guidelines on the Entitlement, Release,Use,Reporting and Audit of Confidential and / or Intelligence Funds",JC No. 2015-01,04/03/2015,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-201534_eb60b107fa.pdf,"Heads of Departments/Agencies/ and Other Offices of the National Government,Government-Owned and - Controlled Corporations including Subsidiaries,Local Government Units, Budget Officers,Head of Accounting Units,Audit Team Leaders and All Others Concerned","Entitlement, Release,Use,Reporting and Audit",,,,,,,,,,,,,,,,,,,
87,"Memorandum of Agreement between National Competitiveness Council,DILG and QC-LGU",,20/05/2015,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2015520_f5b00a51d6.pdf,,Memorandum of Agreement between National,,,,,,,,,,,,,,,,,,,
86,"Memorandum of Understanding between DOF,DTI,DILG,QC-LGU,BIR,SEC,SSS,PhilHealth,Pag-Ibig Fund and NCC",,20/05/2015,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2015520_85a7e9fd10.pdf,,Memorandum of Understanding,,,,,,,,,,,,,,,,,,,
85,Memorandum of Agreement between SEC and DILG,,20/05/2015,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2015520_54d4183059.pdf,,Memorandum of Agreement between SEC and DILG,,,,,,,,,,,,,,,,,,,
84,Institutionalizing Participation of Youth in Climate Change Adaptation and Disaster Risk Reduction and Management -Related Activities,JMC No 2015-01,02/07/2015,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-201572_3633118d72.pdf,"All Provincial Governors, City / Municipal Mayors,Punong Barangays,Members of the Sanggunian,Local Disaster Risk Reduction and Management Councils, and all others concerned",Institutionalizing Participation of Youth,,,,,,,,,,,,,,,,,,,
83,"Revised Guidelines for Tagging/Tracking Climate Change Expenditures in the Local Budget(Amending JMC 2014-01,Dated August 7, 2014)",JMC No 2015-01,17/09/2015,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2015917_9608c1f64f.pdf,"All Provincial Governors, City and Municipal Mayors, Presiding Officers and Members of the Sanggunians, Local Disaster Risk Reduction and Management Councils, Local Finance Committees, and all others concerned",Guidelines for Tagging/Tracking Climate Change,,,,,,,,,,,,,,,,,,,
82,Supplemental to PAMANA-DILG Fund Guidelines in the Implementation of Projects under Closure Agreement with RPM-P/RPA/ABB-TPG in Regions VI and VII,JMC No 2016-01,11/02/2016,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2016211_374775d431.pdf,"Regional Directors (VI and VII);Governors, Municipal/City Mayors,DILG Provincial and City Directors, CLGOOs and MLGOOs of PAMANA Fund LGUs; and all others concerned",Supplemental to PAMANA-DILG Fund,,,,,,,,,,,,,,,,,,,
81,Amendments to PCW-DILG-DBM-NEDA JMC No 2013-01: Guidelines on the Localization of the Magna Carta of Women,JMC No 2016-01,03/03/2016,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2016318_882e720b6a.pdf,"All Provincial Governors,City/Municipal Mayors and Punong Barangays,Members of the Local Sanggunian,DILG Regional/Provincial Directors and all others concerned",Guidelines on the Localization of the Magna Carta of Women,,,,,,,,,,,,,,,,,,,
80,Revised Guidelines for the Implementation of the Comprehensive Local Integration Program (CLIP),JMC No 2016-02,03/03/2016,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-201639_304571663c.pdf,"All Provincial Governors, City / Municipal Mayors, Punong Barangays,Presiding Officers and Members of the Sanggunians at all Levels,Peace and Order Councils (POCs),the Philippine National Police (PNP),DILG regional Directors and others concerned",Comprehensive Local Integration Program (,,,,,,,,,,,,,,,,,,,
79,"Rules and Regulations for the Research and Development,Handling and Use,Transboundary Movement,Release into the Environment,and Management of Genetically-Modified Plant and Plant Products Derived from the Use of Modern Biotechnology",JDC No. 1 s. of 2016,14/03/2016,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2016314_6198c59c0c.pdf,All Concerned,Rules and Regulations for the Research and Development,,,,,,,,,,,,,,,,,,,
78,Guidelines in the Management of the PAyapa at MAsaganang PamayaNAn or PAMANA-DILG Fund for Infrastructure Component (Pillar 3),JMC No 2016-03,13/07/2016,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2016720_965d429f8e.pdf,"DILG Regional, Provincial and City Directors, and C/MLGOOs of CAR,IV-B, V, VI, VIII, IX, X, XI, XII, XIII and NIR; Governors, City / Municipal Mayors of PAMANA-DILG Fund LGUs; and all others concerned",Management of the PAyapa at MAsaganang PamayaNAn,,,,,,,,,,,,,,,,,,,
77,Revised Standards in Processing Business Permits and Licenses in All Cities and Municipalities,JMC No. 01 s. of 2016,05/09/2016,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-201696_bdac5d460e.pdf,All Concerned,Revised Standards in Processing Business Permits and Licenses,,,,,,,,,,,,,,,,,,,
76,Policies and Guidelines for the Implementation of the Assistance to Disadvantage Municipalities Program,JMC No. 01 s. of 2016,19/09/2016,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2016919_da1e0ab037.pdf,"All Concerned Municipal Mayors, DILG and DBM Regional Directors, DILG Provincial Directors, DILG Municipal Local Government Operations Officers and All Others Concerned",Implementation of the Assistance,,,,,,,,,,,,,,,,,,,
75,"DILG-DepEd Joint Memorandum-Circular for Water, Sanitation, and Hygiene (wash) in early child care and development (ECCD)",JMC No. 01 s. 2016,20/09/2016,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2016920_96883b78aa.pdf,,DILG-DepEd Joint Memorandum-Circula,,,,,,,,,,,,,,,,,,,
74,"Reiteration of DA and DILG Joint MC No. 1 Series of 2013 Re: The Extension of Full Support to the Local Agricultural and Fishery Councils(AFCs) as Private Section Partners in the Implementation of Local Development Policies,Plans,and Programs,and Reiteration of DILG MC 97-271-200 Re:LGU Participation in the AFCs and the AFCs in the Local Development Councils",Joint DA and DILG MC No.1s2016,23/09/2016,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2016923_1da485de57.pdf,"DILG;and DILG Regional / Provincial and City Directors,Provincial Governors,City and Municpal Mayors,Local Development Council Chairpersons,Municipal Local Government Operations Officers",Full Support to the Local Agricultural and Fishery Councils,,,,,,,,,,,,,,,,,,,
73,"Policies and Guidelines on Study Tours or ""Lakbay Aral"" Activities of Local Government Units",JMC No. 02 s. of 2016,26/09/2016,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2016926_a868b4d450.pdf,"Local Chief Executive,Members of the Local Sanggunians,Heads of Local Gov't. Dept. and Offices,Regnl. Governor of the ARMM, Heads and Directors of the Central and Regional Offices (ROs) Field Offices of the DBM and DILG,and all Others Concerned","Study Tours or ""Lakbay Aral"" Activities",,,,,,,,,,,,,,,,,,,
72,Implementation of the Listong Pamilyang Pilipino in the Family Development Sessions (FDS) of the Department of Social Welfare and Development (DSWD),DILG-DSWD JMC No. 2016-01,16/11/2016,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20161116_d800598d5e.pdf,"DILG's Regional and Provincial Directors, City and Municipal Local Government Oerations Officers, Provincial Governors, City/Municipal Mayors,Punong Barangays and DSWD's Regional Directors, City/Municipal Links and Others Concerned",Listong Pamilyang Pilipino,,,,,,,,,,,,,,,,,,,
71,"Updated Guidelines on the Harmonization of Local Planning,Investment Programming,Resource Mobilization,Budgeting,Expenditure Management, and Performance Monitoring and Coordination in Fiscal Oversight","DILG,NEDA,DBM,DOF JMC No.1s16",21/11/2016,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20161122_3ef4d16cd2.pdf,"All Officials of the DILG,DBM,DOF through the Bureau of Local Govt. Finance (BLGF),and the NEDA,Provcl Governors,City and Municipal Mayors,Members of the Sanggunian,Local Devt. Councils,Local Finance Commitees and All Others Concerned",Harmonization of Local Planning,,,,,,,,,,,,,,,,,,,
70,"Guidelines for the Implementation of the Conditional Matching Grant to Provinces for Road Repair,Rehabilitation and Improvement (CMGP)for FY 2017 and Thereafter",DILG-DBM JMC 2017-2,08/05/2017,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2017525_2a7d8a0797.pdf,"All Heads of the Department of the Interior and Local Government (DILG),The Department of Budget and Management (DBM),The Bureau of the Treasury (BTr),Provincial Governments,and All Others Concerned",Implementation of the Conditional Matching Grant,,,,,,,,,,,,,,,,,,,
69,Policy Guidelines and Procedures in the Implementation of the FY 2017 Local Government Support Fund-Assistance to Disadvantaged Municipalities (LGSF-ADM)Program,DILG-DBM JMC 2017-3,24/05/2017,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2017524_20ae55ae17.pdf,"Local Chief Executives,Members of the Local Sanggunians,Members of the Local Finance Committees,Heads and Directors of the Central and Regional Offices/Field Offices of the DBM and DILG,and All Others Concerned",Local Government Support Fund-Assistance,,,,,,,,,,,,,,,,,,,
68,Guidelines on the Grant of PBB for Local Government Officials and Employees for FY 2017,DILG-DBM JMC 2017-4,08/06/2017,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-201768_a9c4f5d896.pdf,,PBB for Local Government Officials and Employees,,,,,,,,,,,,,,,,,,,
67,"Guidelines on the Conduct of Sangguniang Kabataan (SK) Pederasyon Election,and Rules Governing Terms of Office,Suspension and Removal of all SK Pederasyon Officers",DILG-COMELEC-NYC JMC 2017-01,23/06/2017,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2017623_2aba7798bf.pdf,"All Provincial Governors,City/Municipal Mayors,Punong Barangays,Sanggunians,DILG Regional Directors,ARMM Regional Governor,DILG City Directors,City/Municipal Local Government Operations Officers,and All Others Concerned","Conduct of Sangguniang Kabataan (SK) Pederasyon Election,",,,,,,,,,,,,,,,,,,,
66,"Guidelines on the Preparation and Issuance of Local Ordinances,Orders,Rules and Regulations concerning the Local Public Transport Route Plan (LPTRP)",DILG-DOTr JMC No.001s2017,19/07/2017,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2017719_433697831c.pdf,All Concerned,Local Public Transport Route Plan,,,,,,,,,,,,,,,,,,,
65,Guidelines in Streamlining the Processes for the Issuance of Building Permits and Certificates of Occupancy,DILG-DICT-DPWH..JMC No.2018-01,08/01/2018,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-201818_99bbf4642b.pdf,All Concerned,Issuance of Building Permits and Certificates of Occupancy,,,,,,,,,,,,,,,,,,,
64,Implementing Guidelines on the Functionality and Effectiveness of Local Anti-Drug Abuse Councils,DILG-DDB JMC No 2018-01,21/05/2018,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2018521_5e9324a6b7.pdf,"Local Chief Exec., Regnl. Governor of the ARMM, Member of the Local Sanggunian at all levels, Local Anti-Drug Abuse Council Members, DILG Regional and Provincial Directors, City and Municipal Local Government Operations Officers, and all others concerned",Local Anti-Drug Abuse Councils,,,,,,,,,,,,,,,,,,,
63,Implementing Guidelines for the Provision of DILG-Administered Package of Assistance for Former Rebels (FRs) and Militia ng Bayan (MB),DILG-DND JMC No 2018-01,05/07/2018,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-201875_7478f0643d.pdf,"All Provincial Governors, City / Municipal Mayors, Punong Barangays, Presiding Officers and Members of the Sanggunians at all levels, Peace and Order Councils (POCs), The Philippine National Police (PNP), The Armed Forces of the Philippines, DILG Regional",DILG-Administered Package of Assistance for Former Rebels,,,,,,,,,,,,,,,,,,,
62,National Guidelines for the Registration of ownership of Agricultural and Fisheries machinery and equipments,DILG-DA JMC 2018-01,06/07/2018,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-201876_0728da2da3.pdf,"All Provincial Governors, City Mayors, Municipal Mayors and Punong Barangays, DA and DILG-ARMM Regional Governor and Regional Directors",Registration of ownership of Agricultural and Fisheries,,,,,,,,,,,,,,,,,,,
61,National Guidelines for the Registration of Ownership of Agricultural and Fisheries Machinery and Equipment,DILG-DA JMC No.2018-02,06/08/2018,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-201886_6ddfeabc53.pdf,"All Provincial Governors, City Mayors, Municipal Mayors, and Punong Barangays, DA and DILG-ARMM Regional Governor and Regional Directors",Registration of Ownership,,,,,,,,,,,,,,,,,,,
60,"Reiteration of Executive Order No. 2, S. 2016 ""Operationalizing the People's Right to Information and the State Policies of Full Public Disclosure and Transparency in the Public Service""",DILG-PCOO JMC 2018-01,09/10/2018,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2018109_d80cfbff60.pdf,The Regional and Field Officers of DILG and the ARMM Regional Governor and all concerned,People's Right to Information and the State Policies,,,,,,,,,,,,,,,,,,,
59,Local Inventory of Cultural Property as required under RA No. 10066,DILG-NCCA JMC 2018-01,10/10/2018,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20181010_f476ca307a.pdf,"All Provincial Governors, City Mayors, Municipal Mayors, Punong Barangays, DILG Regional Directors, ARMM Regional Governor, and all others concerned",Local Inventory of Cultural Property,,,,,,,,,,,,,,,,,,,
58,Guidelines on the Grant of the Performance Based Bonus for Officials and Employees of Local Government Units for Fiscal Year 2018,DILG-DBM JMC 2018-01,12/10/2018,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20181012_5010783aa9.pdf,"All Provincial Governors, City Mayors, Municipal Mayors, The ARMM Regional Governor, DILG Regional Directors, and others concerned",Grant of the Performance Based Bonus,,,,,,,,,,,,,,,,,,,
57,Revised Pre-Marriage Orientation and Counseling (PMOC) Program Implementing Guidelines of 2018,DILG-DOH-DSWD-POPCOM-PSA JMC#1,18/10/2018,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20181018_a63da7932d.pdf,"All Provincial Governors, City / Municipal Mayors, Civil Registrars, PMC Program Implementers and Parties to Intended Marriages",Pre-Marriage Orientation and Counseling,,,,,,,,,,,,,,,,,,,
56,Guidelines on the Localization of the Philippine Development Plan (PDP) 2017-2022 Results Matrices and the Sustainable Development Goals (SDGs),DILG-NEDA JMC #1,27/11/2018,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20181127_45f559a61a.pdf,,Results Matrices and the Sustainable Development Goals,,,,,,,,,,,,,,,,,,,
55,Guidelines on Strengthening the Implementation of the Ban on Bottom Trawl Operations within Municipal Waters,DILG-DA(BFAR) JMC 2018-03,29/11/2018,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20181129_4022e9311b.pdf,,Strengthening the Implementation of the Ban,,,,,,,,,,,,,,,,,,,
54,"Cooperative Promotion, Organization, Regulation, and Development in Local Government Units",Joint DILG-CDA MC No. 2019-01,21/01/2019,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2019121_3428fcf7f2.pdf,"All Provincial Governors, City and Municipal Mayors, Punong Barangays, DILG Regional Directors, ARMM Regional Governor, and all others concerned","Promotion, Organization, Regulation,",,,,,,,,,,,,,,,,,,,
53,"Guidelines for the Review, Adjustment, Setting and / or Adoption of Reasonable Regulatory Fees and Charges of Local Government Units",DILG-DOF JMC No 2019-01,31/05/2019,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2019531_03547d4e97.pdf,All Concerned,Adoption of Reasonable Regulatory Fees,,,,,,,,,,,,,,,,,,,
52,Joint DILG-DICT MC No. 2019-01 re: Conduct of Online E-Readiness Survey for all Cities and Municipalities,JMC No. 2019-01,10/07/2019,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2019710_475d3f7ae3.pdf,"All City and Municipal Mayors, DILG Regional Directors and Field Officers, DICT Cluster Directors, and Field Officers and others concerned",Conduct of Online E-Readiness Survey,,,,,,,,,,,,,,,,,,,
51,Revised Child-Friendly Local Governance Audit (CFLGA) and Implementation Guideline,JMC No. 2019-01,28/08/2019,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-2019828_9aac03106e.pdf,All Concerned,Child-Friendly Local Governance Audit,,,,,,,,,,,,,,,,,,,
50,"Towards Ensuring Safe, Adaptive, and Disaster-Resilient Communities","DTI,DILG and DPWH JMC No. 2019",24/10/2019,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20191024_160fc23bbb.pdf,"All Provincial, City, and Mun. Chief Executives; Local and Regional Disaster Risk Reduction and Mgmt. Officers; All Regnl Directors of the OCD and the DTI; All Provcl, City, and Mun. Engrs.; All Regl and Provcl Dir of the DILG;Regnl Dir and District Engrs",Disaster-Resilient Communities,,,,,,,,,,,,,,,,,,,
49,"Guidelines in the Issuance of Business License/Permit for Head Offices and Branches of Pawnshops (PSs) and Money Service Businesses (MSBs), and on information sharing with the BSP",BSP-DILG JMC No. 2019-01,15/11/2019,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20191119_97d847afe5.pdf,"All Provincial Governors, City and Municipal Mayors, DILG Regional Directors, DILG Field Officers and others concerned",Issuance of Business License/Permit for Head Offices,,,,,,,,,,,,,,,,,,,
48,Guidelines on the Grant of the Performance Based Bonus for Officials and Employees of Local Government Units for Fiscal Year 2019,JMC-DILG-DBM 2019-01,21/11/2019,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20191121_fc68a2b3cb.pdf,"All Provincial Governors, City Mayors, Municipal Mayors, DILG Regional Directors, BARMM-MILG Minister, and others concerned",Performance Based Bonus,,,,,,,,,,,,,,,,,,,
47,Supplemental Guidelines for the Implementation of Public-Private Partnership for the People Initiative for Local Governments (LGU P4),PPPC-DILG-JMC No. 2019-01,11/12/2019,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20191211_b6a21b1067.pdf,All Concerned,Implementation of Public-Private Partnership,,,,,,,,,,,,,,,,,,,
46,Guidelines on the Regulatory Reform for LGUs pursuant to the Ease of Doing Business and Efficient Government Service Delivery (EODB-EGSD) Act of 2018,DILG-ARTA JMC No. 2019-01,11/12/2019,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/dilg-joincircular-20191211_b0358362a6.pdf,All Concerned,Regulatory Reform for LGUs pursuant t,,,,,,,,,,,,,,,,,,,
